table_name,column_name,data_type
AreaGeograficaOperacao,areaGeograficaOperacaoID,STRING
AreaGeograficaOperacao,area,STRING
AreaGeograficaOperacao,numeroInicial,INT64
AreaGeograficaOperacao,numeroFinal,INT64
AreaOperacional,areaOperacionalID,STRING
AreaOperacional,descricao,STRING
AreaOperacional,tipo,STRING
AreaOperacional,CorReferencia,STRING
GrupamentoBRS,grupamentoBRSID,STRING
GrupamentoBRS,descricao,INT64
Linha,linhaID,STRING
Linha,numeroLinha,STRING
Linha,dataCriacaoLinha,DATE
Linha,servico,STRING
Linha,operador,STRING
Linha,vista,STRING
Linha,areaOperacional,STRING
Linha,oficio,STRING
Linha,oficioprimeiroHistorico,STRING
Linha,oficioUltimaAlteracao,STRING
Linha,tipoSistema,STRING
Linha,kmIDA,FLOAT64
Linha,kmVOLTA,FLOAT64
Linha,areaGeografica,STRING
Linha,classificacaoEspacial,STRING
Linha,parametro,STRING
Linha,grupamentoBRS,INT64
Linha,frotaTipoVeiculo,STRING
Linha,frotaUltimoOficio,STRING
Linha,frotaDataOficio,TIMESTAMP
Linha,itinerarioIDA,STRING
Linha,itinerarioIdaOficio,STRING
Linha,itinerarioIdaData,TIMESTAMP
Linha,itinerarioVOLTA,STRING
Linha,itinerarioVoltaOficio,STRING
Linha,itinerarioVoltaData,TIMESTAMP
Linha,observacao,STRING
Linha,dataCadastro,TIMESTAMP
Linha,ultimaAtualizacao,TIMESTAMP
Oficio,oficioID,STRING
Oficio,numeroOficio,INT64
Oficio,dataOficio,DATE
Oficio,assunto,STRING
Oficio,numeroProcesso,STRING
Oficio,dataCadastro,TIMESTAMP
Oficio,linha,STRING
ParametroFuncional,parametroFuncionalID,STRING
ParametroFuncional,parametro,STRING
Servico,servicoID,STRING
Servico,descricao,STRING
Servico,Prefixo,STRING
TipoSistema,tipoSistemaID,STRING
TipoSistema,descricao,STRING
TipoSistema,sentido,INT64
TipoVeiculo,tipoVeiculoID,STRING
TipoVeiculo,descricao,STRING
TipoVeiculo,codigoVeiculo,INT64
exclusaoLinha,exclusaoLinhaID,STRING
exclusaoLinha,linha,INT64
exclusaoLinha,servico,STRING
exclusaoLinha,oficio,STRING
exclusaoLinha,dataExclusao,DATE
exclusaoLinha,linhaID,STRING
operador,operadorID,STRING
operador,cnpj,STRING
operador,nomeFantasia,STRING
operador,razaoSocial,STRING
operador,termo,STRING
operador,dataCadastro,DATE